                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.70174,                0.36496,                 1.1177,                0.93252,                0.94025,                0.95604,                0.71096,                    nan,                    nan,                    nan,             0.00035382,             0.00035382,             0.00035382
                     79,                0.69886,                0.36278,                 1.1146,                0.96345,                0.91498,                0.95878,                0.70885,                    nan,                    nan,                    nan,             0.00033967,             0.00033967,             0.00033967
                     80,                0.68874,                0.36278,                 1.1127,                0.94538,                 0.9246,                0.95642,                0.70584,                    nan,                    nan,                    nan,             0.00032553,             0.00032553,             0.00032553
                     81,                0.69194,                0.36139,                 1.1105,                0.94535,                0.93291,                0.95848,                 0.7086,                    nan,                    nan,                    nan,             0.00031138,             0.00031138,             0.00031138
                     82,                 0.6913,                0.36052,                 1.1113,                0.93984,                 0.9378,                0.95306,                0.70917,                    nan,                    nan,                    nan,             0.00029723,             0.00029723,             0.00029723
                     83,                0.69144,                0.35866,                  1.111,                 0.9664,                0.90846,                0.95406,                0.70517,                    nan,                    nan,                    nan,             0.00028308,             0.00028308,             0.00028308
                     84,                0.68112,                0.35585,                 1.1023,                0.93544,                0.94032,                0.95509,                0.70671,                    nan,                    nan,                    nan,             0.00026894,             0.00026894,             0.00026894
                     85,                 0.6818,                0.35451,                 1.1047,                0.93571,                0.93617,                0.95612,                0.70697,                    nan,                    nan,                    nan,             0.00025479,             0.00025479,             0.00025479
                     86,                0.68763,                0.35397,                 1.1054,                0.93378,                0.93769,                0.95435,                 0.7089,                    nan,                    nan,                    nan,             0.00024064,             0.00024064,             0.00024064
                     87,                0.67692,                0.35369,                 1.1035,                0.93389,                0.93943,                0.95676,                 0.7115,                    nan,                    nan,                    nan,              0.0002265,              0.0002265,              0.0002265
                     88,                0.66953,                0.35197,                 1.1037,                0.93625,                0.93783,                0.95883,                0.71058,                    nan,                    nan,                    nan,             0.00021235,             0.00021235,             0.00021235
                     89,                0.67573,                0.34764,                 1.1029,                0.94089,                0.93617,                0.96125,                 0.7128,                    nan,                    nan,                    nan,              0.0001982,              0.0001982,              0.0001982
                     90,                0.67255,                0.34971,                 1.1019,                0.94026,                0.93582,                0.95877,                0.71246,                    nan,                    nan,                    nan,             0.00018406,             0.00018406,             0.00018406
